Band,pixel,nu,nu_low,nu_high,width,D_px,number
1,A,20.61,17,24.21,7.21,,30
2,B,25.6,21.12,30.08,8.96,,50
3,A,30.6,25.24,35.95,10.71,,30
4,B,38.01,31.36,44.67,13.3,,50
5,C,47.23,38.96,55.5,16.53,,170
6,D,58.68,48.41,68.95,20.54,,250
7,C,70.13,57.86,82.4,24.55,,170
8,D,87.13,71.88,102.38,30.5,,250
9,E,108.25,89.31,127.2,37.89,,400
10,F,134.5,110.96,158.03,47.07,,410
11,E,160.74,132.61,188.87,56.26,,400
12,F,199.71,164.76,234.65,69.9,,410
13,G,248.12,204.7,291.54,86.84,,320
14,H,308.27,254.32,362.22,107.89,,280
15,G,368.42,303.95,432.89,128.95,,320
16,H,457.73,377.63,537.84,160.21,,280
17,I,554.7,485.3,624,138.7,,220
18,J,665.6,582.4,748.8,166.4,,200
19,K,798.7,698.9,898.5,199.7,,180
